,nid,jid,FullName,Last Name,First Name,Middle Name,Suffix,Birth Month,Birth Day,Birth Year,Birth City,Birth State,Death Month,Death Day,Death Year,Death City,Death State,Gender,Race or Ethnicity,Court Type (1),Court Name (1),Appointment Title (1),Appointing President (1),Party of Appointing President (1),Reappointing President (1),Party of Reappointing President (1),ABA Rating (1),Seat ID (1),Statute Authorizing New Seat (1),Recess Appointment Date (1),Nomination Date (1),Committee Referral Date (1),Hearing Date (1),Judiciary Committee Action (1),Committee Action Date (1),Senate Vote Type (1),Ayes/Nays (1),Confirmation Date (1),Commission Date (1),"Service as Chief Judge, Begin (1)","Service as Chief Judge, End (1)","2nd Service as Chief Judge, Begin (1)","2nd Service as Chief Judge, End (1)",Senior Status Date (1),Termination (1),Termination Date (1),Court Type (2),Court Name (2),Appointment Title (2),Appointing President (2),Party of Appointing President (2),Reappointing President (2),Party of Reappointing President (2),ABA Rating (2),Seat ID (2),Statute Authorizing New Seat (2),Recess Appointment Date (2),Nomination Date (2),Committee Referral Date (2),Hearing Date (2),Judiciary Committee Action (2),Committee Action Date (2),Senate Vote Type (2),Ayes/Nays (2),Confirmation Date (2),Commission Date (2),"Service as Chief Judge, Begin (2)","Service as Chief Judge, End (2)","2nd Service as Chief Judge, Begin (2)","2nd Service as Chief Judge, End (2)",Senior Status Date (2),Termination (2),Termination Date (2),Court Type (3),Court Name (3),Appointment Title (3),Appointing President (3),Party of Appointing President (3),Reappointing President (3),Party of Reappointing President (3),ABA Rating (3),Seat ID (3),Statute Authorizing New Seat (3),Recess Appointment Date (3),Nomination Date (3),Committee Referral Date (3),Hearing Date (3),Judiciary Committee Action (3),Committee Action Date (3),Senate Vote Type (3),Ayes/Nays (3),Confirmation Date (3),Commission Date (3),"Service as Chief Judge, Begin (3)","Service as Chief Judge, End (3)","2nd Service as Chief Judge, Begin (3)","2nd Service as Chief Judge, End (3)",Senior Status Date (3),Termination (3),Termination Date (3),Court Type (4),Court Name (4),Appointment Title (4),Appointing President (4),Party of Appointing President (4),Reappointing President (4),Party of Reappointing President (4),ABA Rating (4),Seat ID (4),Statute Authorizing New Seat (4),Recess Appointment Date (4),Nomination Date (4),Committee Referral Date (4),Hearing Date (4),Judiciary Committee Action (4),Committee Action Date (4),Senate Vote Type (4),Ayes/Nays (4),Confirmation Date (4),Commission Date (4),"Service as Chief Judge, Begin (4)","Service as Chief Judge, End (4)","2nd Service as Chief Judge, Begin (4)","2nd Service as Chief Judge, End (4)",Senior Status Date (4),Termination (4),Termination Date (4),Court Type (5),Court Name (5),Appointment Title (5),Appointing President (5),Party of Appointing President (5),Reappointing President (5),Party of Reappointing President (5),ABA Rating (5),Seat ID (5),Statute Authorizing New Seat (5),Recess Appointment Date (5),Nomination Date (5),Committee Referral Date (5),Hearing Date (5),Judiciary Committee Action (5),Committee Action Date (5),Senate Vote Type (5),Ayes/Nays (5),Confirmation Date (5),Commission Date (5),"Service as Chief Judge, Begin (5)","Service as Chief Judge, End (5)","2nd Service as Chief Judge, Begin (5)","2nd Service as Chief Judge, End (5)",Senior Status Date (5),Termination (5),Termination Date (5),Court Type (6),Court Name (6),Appointment Title (6),Appointing President (6),Party of Appointing President (6),Reappointing President (6),Party of Reappointing President (6),ABA Rating (6),Seat ID (6),Statute Authorizing New Seat (6),Recess Appointment Date (6),Nomination Date (6),Committee Referral Date (6),Hearing Date (6),Judiciary Committee Action (6),Committee Action Date (6),Senate Vote Type (6),Ayes/Nays (6),Confirmation Date (6),Commission Date (6),"Service as Chief Judge, Begin (6)","Service as Chief Judge, End (6)","2nd Service as Chief Judge, Begin (6)","2nd Service as Chief Judge, End (6)",Senior Status Date (6),Termination (6),Termination Date (6),Other Federal Judicial Service (1),Other Federal Judicial Service (2),Other Federal Judicial Service (3),Other Federal Judicial Service (4),School (1),Degree (1),Degree Year (1),School (2),Degree (2),Degree Year (2),School (3),Degree (3),Degree Year (3),School (4),Degree (4),Degree Year (4),School (5),Degree (5),Degree Year (5),Professional Career,Other Nominations/Recess Appointments
1153,1380976,806,Charles Britton Fulton  ,Fulton,Charles,Britton, ,5.0,12.0,1910,Fallon,NV,5.0,15.0,1996.0,West Palm Beach,FL,Male,White,U.S. District Court,U.S. District Court for the Southern District of Florida,Judge,John F. Kennedy,Democratic,,,,FLSD0901,75 Stat. 80,,4/4/1963,4/4/1963,4/24/1963,Reported (favorably),4/24/1963,Voice,  ,4/24/1963,4/26/1963,1966.0,1977.0,,,6/30/1978,Death,5/15/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Florida College of Law (now Fredric G. Levin College of Law),LL.B.,1935,,,,,,,,,,,,,"Private practice, West Palm Beach, Florida, 1935-1963; Assistant attorney general, State of Florida, 1942; U.S. Naval Reserve, 1942-1946; General counsel, Board of Commissioners of the Port of Palm Beach [Florida] District, 1950-1963; President/chairman/general counsel, Home Federal Savings and Loan Association of Palm Beach, Florida 1958-1963",
1154,1380981,807,William Royal Furgeson Jr.,Furgeson,William,Royal,Jr.,,,1941,Lubbock,TX,,,, , ,Male,White,U.S. District Court,U.S. District Court for the Western District of Texas,Judge,William J. Clinton,Democratic,,,Well Qualified,TXWD0901,104 Stat. 5089,,11/19/1993,11/19/1993,2/24/1994,Reported (favorably),3/9/1994,Voice,  ,3/10/1994,3/11/1994,,,,,11/30/2008,Retirement,5/31/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Texas Technical College (now Texas Tech University),B.A.,1964,University of Texas School of Law,J.D.,1967,,,,,,,,,,"U.S. Army captain, 1967-1969; Assistant county attorney, Lubbock County, Texas, 1969; Law clerk, Hon. Halbert O. Woodward, U.S. District Court, Northern District of Texas, 1969-1970; Private practice, El Paso, Texas, 1970-1993; Member, U.S. Judicial Panel on Multidistrict Litigation, 2008-2013; Dean, University of North Texas at Dallas College of Law, 2013-",
1155,1393896,3412,Jesse Matthew Furman  ,Furman,Jesse,Matthew, ,,,1972,New York,NY,,,, , ,Male,White,U.S. District Court,U.S. District Court for the Southern District of New York,Judge,Barack Obama,Democratic,,,Qualified,NYSD0806, ,,6/7/2011,6/7/2011,7/27/2011,Reported (favorably),9/15/2011,Roll Call, 62/34,2/17/2012,2/17/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harvard University,B.A.,1994,Yale Law School,J.D.,1998,,,,,,,,,,"Law clerk, Hon. Michael B. Mukasey, U.S. District Court, Southern District of New York, 1998-1999; Law clerk, Hon. JoséA. Cabranes, U.S. Court of Appeals for the Second Circuit, 1999-2000; Private practice, New Haven, Connecticut, 2000-2002, 2003-2004; Law clerk, Hon. David H. Souter, Supreme Court of the United States, 2002-2003; Assistant U.S. attorney, Southern District of New York, 2004-2007, 2009-2012; deputy chief appellate attorney, 2009-2012; Counselor to the Attorney General of the United States, 2007-2009",
1156,1380986,808,José Antonio Fusté  ,Fusté,José,Antonio, ,,,1943,San Juan,Puerto Rico,,,, , ,Male,Hispanic,U.S. District Court,U.S. District Court for the District of Puerto Rico,Judge,Ronald Reagan,Republican,,,Qualified,PRD0103, ,,9/27/1985,9/30/1985,10/16/1985,Reported (favorably),10/24/1985,Voice,  ,10/25/1985,10/28/1985,2004.0,2011.0,,,,Retirement,6/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Puerto Rico,B.B.A.,1965,University of Puerto Rico School of Law,LL.B.,1968,,,,,,,,,,"Private practice, San Juan, Puerto Rico, 1968-1985; Professor of admiralty law, University of Puerto Rico, 1972-",
1157,1380991,809,Richard Arthur Gadbois Jr.,Gadbois,Richard,Arthur,Jr.,6.0,18.0,1932,Omaha,NE,10.0,2.0,1996.0,Los Angeles,CA,Male,White,U.S. District Court,U.S. District Court for the Central District of California,Judge,Ronald Reagan,Republican,,,Well Qualified,CACD0802, ,,6/28/1982,6/28/1982,7/14/1982,Reported (favorably),7/26/1982,Voice,  ,7/27/1982,7/28/1982,,,,,1/24/1996,Death,10/2/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. John's University,A.B.,1955,"Loyola Law School, Los Angeles, California",J.D.,1958,University of Southern California Law School,,1960,,,,,,,"Deputy attorney general, State of California, 1958-1959; Private practice, Los Angeles, California, 1960-1968; Vice president/general counsel/secretary, Denny's, Inc., La Mirada, California, 1968-1971; Judge, Los Angeles [California] Municipal Court, 1971-1972; Judge, Superior Court of California, County of Los Angeles, 1972-1982",
1158,1380996,810,Paul V. Gadola  ,Gadola,Paul,V., ,,,1929,Flint,MI,,,, , ,Male,White,U.S. District Court,U.S. District Court for the Eastern District of Michigan,Judge,Ronald Reagan,Republican,,,Qualified,MIED0902, ,,4/23/1987,4/23/1987,6/22/1988,Reported (favorably),10/5/1988,Voice,  ,10/14/1988,10/17/1988,,,,,1/31/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michigan State College,A.B.,1951,University of Michigan Law School,J.D.,1953,,,,,,,,,,"U.S. Army, 1953-1955; Private practice, Flint, Michigan, 1955-1988",
1159,1381001,811,Lee Parsons Gagliardi  ,Gagliardi,Lee,Parsons, ,7.0,17.0,1918,Larchmont,NY,10.0,30.0,1998.0,Manchester,VT,Male,White,U.S. District Court,U.S. District Court for the Southern District of New York,Judge,Richard M. Nixon,Republican,,,Qualified,NYSD2601,84 Stat. 294,,12/2/1971,12/2/1971,12/10/1971,Reported (favorably),12/10/1971,Voice,  ,12/11/1971,12/15/1971,,,,,7/17/1985,Death,10/30/1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Williams College,A.B.,1941,Columbia Law School,LL.B.,1947,,,,,,,,,,"U.S. Naval Reserve lieutenant, 1942-1945; Assistant to general attorney, New York Central Railroad Company, 1948-1955; Private practice, New York City, 1955-1972; Chairman, Board of Police Commissioners, Mamaroneck, New York, 1970-1972",
1160,1381006,812,Fernando J. Gaitan Jr.,Gaitan,Fernando,J.,Jr.,,,1948,Kansas City,KS,,,, , ,Male,African American,U.S. District Court,U.S. District Court for the Western District of Missouri,Judge,George H.W. Bush,Republican,,,Well Qualified,MOWD0109, ,,5/16/1991,5/16/1991,7/11/1991,Reported (favorably),7/18/1991,Voice,  ,7/18/1991,8/2/1991,2007.0,2014.0,,,1/3/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pittsburg State University, Kansas",B.S.,1970,University of Missouri-Kansas City School of Law,J.D.,1974,,,,,,,,,,"Attorney, Southwestern Bell Telephone Company, 1974-1980; Judge, Circuit Court of Missouri, Sixteenth Judicial Circuit, 1980-1986; Judge, Missouri Court of Appeals, Western District, 1986-1991",
1161,1390476,2727,Arthur J. Gajarsa  ,Gajarsa,Arthur,J., ,,,1941,Norcia,Italy,,,, , ,Male,White,U.S. Court of Appeals,U.S. Court of Appeals for the Federal Circuit,Judge,William J. Clinton,Democratic,,,Qualified,CAFC0302, ,,1/7/1997,1/7/1997,5/7/1997,Reported (favorably),5/22/1997,Voice,  ,7/31/1997,8/1/1997,,,,,7/31/2011,Retirement,6/30/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rensselaer Polytechnic Institute,B.S.,1962,Catholic University of America,M.A.,1964,Georgetown University Law Center,J.D.,1967,,,,,,,"Law clerk, Hon. Joseph C. McGarraghy, U.S. District Court, District of Columbia, 1967-1968; Attorney, Aetna Life and Casualty, Inc., 1968-1969; Special counsel, Commissioner of Indian Affairs, U.S. Department of the Interior, 1969-1970; Private practice, Washington, D.C., 1971-1997; Private practice, Boston, Massachusetts, 2013-","Nominated to U.S. Court of Appeals for the Federal Circuit, April 18, 1996; no Senate vote"
1162,7544446,7544446,John Michael Gallagher,Gallagher,John,Michael,,,,1966,New York,NY,,,,,,Male,White,U.S. District Court,U.S. District Court for the Eastern District of Pennsylvania,Judge,Donald J. Trump,Republican,,,Well Qualified,PAED1006,,,10/15/2019,10/15/2019,10/16/2019,Reported (favorably),11/7/2019,Roll Call, 83/9,12/19/2019,12/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Long Island University,B.S.,1989,New York Law School,J.D.,1994,,,,,,,,,,"Police officer, New York City, 1989-1994; Assistant district attorney, Bronx County, New York, 1994-1996; Assistant special prosecutor, New York City Police Department, 1996-1997; Assistant district attorney, Monroe County, Pennsylvania, 1997-1998; Special counsel to police commissioner, Philadelphia, Pennsylvania, 1998-2000; White House fellow, counsel to Attorney General, U.S. Department of Justice, 2000-2001; Assistant U.S. attorney and civil rights coordinator, District of New Mexico, 2001-2003; Assistant chief of police, Administration Division, Miami, Florida, 2003-2004; Assistant U.S. attorney, Eastern District of Pennsylvania, 2004-2019; chief, Allentown Branch Office, 2014-2019",
1163,7049781,7049781,Stephanie Agli Gallagher,Gallagher,Stephanie,Agli,,,,1972,Rockville,CT,,,,,,Female,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,Donald J. Trump,Republican,,,Well Qualified,MDD0208,,,5/21/2019,5/21/2019,,Reported (favorably),6/20/2019,Voice,,9/11/2019,9/13/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U.S. Magistrate Judge, U.S. District Court for the District of Maryland, 2011-2019",,,,Georgetown University,B.A.,1994,Harvard Law School,J.D.,1997,,,,,,,,,,"Law clerk, Hon. J. Frederick Motz, U.S. District Court for the District of Maryland, 1997-1999; Private practice, Washington, D.C., 1999-2001; Assistant U.S. attorney, District of Maryland, 2002-2008; Private practice, Baltimore, Maryland, 2008-2011","Nominated to U.S. District Court for the District of Maryland, September 8, 2015; no Senate vote; Nominated to U.S. District Court for the District of Maryland, June 11, 2018; no Senate vote"
1164,1381011,813,Clarence G. Galston  ,Galston,Clarence,G., ,4.0,18.0,1876,New York,NY,1.0,22.0,1964.0, , ,Male,White,U.S. District Court,U.S. District Court for the Eastern District of New York,Judge,Herbert Hoover,Republican,,,,NYED0401,45 Stat. 1409,,4/18/1929,4/18/1929,,Reported (favorably),4/29/1929,Voice,  ,4/29/1929,4/29/1929,,,,,1/1/1957,Death,1/22/1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City College of New York,B.S.,1895,New York University School of Law,LL.B.,1899,New York University,A.M.,1900,,,,,,,"Private practice, New York City, 1899-1929; Special counsel on patent matters, New York City, 1912-1929; President, Woodmere [New York] Academy, 1914-1929",
1165,1381016,814,James Cullen Ganey  ,Ganey,James,Cullen, ,4.0,22.0,1899,Phillipsburg,NJ,2.0,7.0,1972.0, , ,Male,White,U.S. District Court,U.S. District Court for the Eastern District of Pennsylvania,Judge,Franklin D. Roosevelt,Democratic,,,,PAED0701,54 Stat. 219,,6/11/1940,6/11/1940,,Reported (favorably),6/12/1940,Voice,  ,6/13/1940,6/19/1940,1958.0,1961.0,,,,Appointment to Another Judicial Position,8/30/1961,U.S. Court of Appeals,U.S. Court of Appeals for the Third Circuit,Judge,John F. Kennedy,Democratic,,,,CA30901,75 Stat. 80,,8/3/1961,8/3/1961,8/10/1961,Reported (favorably),8/14/1961,Voice,  ,8/15/1961,8/15/1961,,,,,8/15/1966,Death,2/7/1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lehigh University,LL.B.,1920,Harvard Law School,LL.B.,1923,,,,,,,,,,"Private practice, Bethlehem, Pennsylvania, 1923-1937; U.S. attorney for the Eastern District of Pennsylvania, 1937-1940; Member, Judicial Conference of the United States, 1959-1961",
1166,1391146,2862,Nicholas Garaufis  ,Garaufis,Nicholas, , ,,,1948,Paterson,NJ,,,, , ,Male,White,U.S. District Court,U.S. District Court for the Eastern District of New York,Judge,William J. Clinton,Democratic,,,Qualified,NYED0703, ,,2/28/2000,2/28/2000,4/27/2000,Reported (favorably),5/11/2000,Voice,  ,5/24/2000,5/25/2000,,,,,10/1/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia College,B.A.,1969,Columbia Law School,J.D.,1974,,,,,,,,,,"Private practice, 1973-1975, 1978-1986; Assistant attorney general, State of New York, 1975-1978; Chief legal counsel, Office of the President, Borough of Queens, New York, 1986-1995; Chief counsel, Federal Aviation Administration, 1995-2000",
1167,1381021,815,Marvin J. Garbis  ,Garbis,Marvin,J., ,,,1936,Baltimore,MD,,,, , ,Male,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,George H.W. Bush,Republican,,,Qualified,MDD0304, ,,8/4/1989,8/4/1989,9/26/1989,Reported (favorably),10/18/1989,Voice,  ,10/24/1989,10/25/1989,,,,,6/14/2003,Retirement,6/26/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johns Hopkins University,B.E.S.,1958,Harvard Law School,J.D.,1961,Georgetown College (now Georgetown University) Law Center,LL.M.,1962,,,,,,,"Trial attorney, Tax Division, U.S. Department of Justice, 1962-1967; Private practice, Baltimore, Maryland, 1967-1988; Private practice, Washington, D.C., 1988-1989","Nominated to U.S. District Court for the District of Maryland, July 6, 1988; no Senate vote"
1168,1381026,816,Edward J. Garcia  ,Garcia,Edward,J., ,,,1928, Sacramento,CA,,,, , ,Male,Hispanic,U.S. District Court,U.S. District Court for the Eastern District of California,Judge,Ronald Reagan,Republican,,,Qualified,CAED0203, ,,2/16/1984,2/17/1984,3/7/1984,Reported (favorably),3/8/1984,Voice,  ,3/13/1984,3/14/1984,,,,,11/24/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sacramento City College,A.A.,1951,McGeorge School of Law,LL.B.,1958,,,,,,,,,,"U.S. Army, Air Corps, 1946-1949; Deputy district attorney, Sacramento County, California, 1959-1972; supervising deputy, 1964-1969; chief deputy, 1969-1972; Judge, Sacramento [California] Municipal Court, 1972-1984",
1169,1381031,817,Hipolito Frank Garcia  ,Garcia,Hipolito,Frank, ,12.0,4.0,1925,San Antonio,TX,1.0,16.0,2002.0,Austin,TX,Male,Hispanic,U.S. District Court,U.S. District Court for the Western District of Texas,Judge,Jimmy Carter,Democratic,,,Qualified,TXWD0601,92 Stat. 1629,,12/19/1979,12/19/1979,6/4/1980,Reported (favorably),9/17/1980,Voice,  ,9/29/1980,9/30/1980,,,,,,Death,1/16/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Mary's University School of Law, Texas",LL.B.,1951,,,,,,,,,,,,,"U.S. Army, 1943-1945; Deputy district clerk, Bexar County, Texas, 1950-1952; Assistant criminal attorney, Bexar County, Texas, 1952-1963; Private practice, 1963-1964; Judge, Bexar County [Texas] Court at Law Number Two, 1964-1974; Judge, Bexar County [Texas] One Hundred and Forty-Fourth District Court, 1975-1980",
1170,1381036,818,Orlando Luis Garcia  ,Garcia,Orlando,Luis, ,,,1952,Jim Wells County,TX,,,, , ,Male,Hispanic,U.S. District Court,U.S. District Court for the Western District of Texas,Judge,William J. Clinton,Democratic,,,Qualified,TXWD0404, ,,11/19/1993,11/19/1993,2/24/1994,Reported (favorably),3/9/1994,Voice,  ,3/10/1994,3/11/1994,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Texas,B.A.,1975,University of Texas School of Law,J.D.,1978,,,,,,,,,,"Private practice, San Antonio, Texas, 1978-1990; State representative, Texas, 1983-1991; Justice, Fourth Court of Appeals of Texas, 1991-1992",
1171,1393781,3389,Marina Garcia Marmolejo  ,Garcia Marmolejo,Marina, , ,,,1971,Nuevo Laredo,Mexico,,,, , ,Female,Hispanic,U.S. District Court,U.S. District Court for the Southern District of Texas,Judge,Barack Obama,Democratic,,,Qualified,TXSD0505, ,,1/5/2011,1/5/2011,5/24/2011,Reported (favorably),6/16/2011,Voice,  ,10/3/2011,10/4/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of the Incarnate Word,B.A.,1992,"St. Mary's University, Texas",M.A.,1996,"St. Mary's University School of Law, Texas",J.D.,1996,,,,,,,"Assistant federal public defender, Western District of Texas, 1996-1998; Assistant federal public defender, Southern District of Texas, 1998-1999; Private practice, Laredo, Texas, 1999; Assistant U.S. attorney, Southern District of Texas, 1999-2007; Private practice, San Antonio, Texas, 2007-2009; Private practice, Austin, Texas, 2009-2011","Nominated to U.S. District Court for the Southern District of Texas, July 28, 2010; no Senate vote"
1172,1391206,2874,Jay A. Garcia-Gregory  ,Garcia-Gregory,Jay,A., ,,,1944,San Juan,Puerto Rico,,,, , ,Male,Hispanic,U.S. District Court,U.S. District Court for the District of Puerto Rico,Judge,William J. Clinton,Democratic,,,Qualified,PRD0303, ,,4/5/2000,4/6/2000,5/25/2000,Reported (favorably),6/15/2000,Voice,  ,6/16/2000,7/11/2000,,,,,9/30/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assumption College,A.B.,1966,Complutense University of Madrid,M.A.,1969,University of Puerto Rico School of Law,LL.B.,1972,,,,,,,"Law clerk, Hon. Hiram Cancio and Hon. JoséToledo, U.S. District Court, District of Puerto Rico, 1973-1974; Private practice, Puerto Rico, 1974-2000",
1173,1392751,3183,Paul G. Gardephe  ,Gardephe,Paul,G., ,,,1957,Fitchburg,MA,,,, , ,Male,White,U.S. District Court,U.S. District Court for the Southern District of New York,Judge,George W. Bush,Republican,,,Well Qualified,NYSD1403, ,,4/29/2008,4/29/2008,6/11/2008,Reported (favorably),6/26/2008,Voice,  ,7/17/2008,8/8/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Pennsylvania,B.A.,1979,University of Pennsylvania,M.A.,1979,Columbia Law School,J.D.,1982,,,,,,,"Law clerk, Hon. Albert J. Engel, U.S. Court of Appeals for the Sixth Circuit, 1982-1983; Private practice, New York City, 1983-1987, 2003-2008; Assistant U.S. attorney, Southern District of New York, 1987-1996; chief, Appeals Unit, Criminal Division, 1992-1995; senior litigation counsel, 1995-1996; Time, Inc. Law Department, 1996-2003; associate general counsel, 1996-1998; deputy general counsel for litigation, 1998-2000; vice president and deputy general counsel, 2000-2003; Consultant (special counsel), Office of the Inspector General, U.S. Department of Justice, 1996-2000, 2001-2003",
1174,1381041,819,Archibald K. Gardner  ,Gardner,Archibald,K., ,12.0,3.0,1867,Gwen Sound,Canada,1.0,21.0,1962.0,Huron,SD,Male,White,U.S. Court of Appeals,U.S. Court of Appeals for the Eighth Circuit,Judge,Herbert Hoover,Republican,,,,CA80801,45 Stat. 1346,,4/18/1929,4/18/1929,,Reported (favorably),5/22/1929,Voice,  ,5/23/1929,5/23/1929,1948.0,1959.0,,,9/30/1960,Death,1/21/1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Iowa,A.B.,1892,University of Iowa College of Law,LL.B.,1893,,,,,,,,,,"Private practice, Greenfield, Missouri, 1893-1895; Private practice, Rapid City, South Dakota, 1895-1897, 1899-1907; City attorney, Rapid City, South Dakota, 1897-1904; General attorney, Chicago and Northwestern Railway, South Dakota, 1907-1929; Member, Conference of Senior Circuit Judges, 1947-1948, and Judicial Conference of the United States, 1948-1959","Nominated to U.S. Court of Appeals for the Eighth Circuit, March 1, 1929; no Senate vote"
